holidayName,typeOfHoliday,details,date,weekOfYear,locality
Reformation Day,Common local holiday,"BB, HB, HH, MVP, NDS, SH, SN, ST, TH",2020-10-31,44,Hamburg
Reformation Day,Common local holiday,"BB, HB, HH, MVP, NDS, SH, SN, ST, TH",2020-10-31,44,Mecklenburg-Vorpommern
Reformation Day,Common local holiday,"BB, HB, HH, MVP, NDS, SH, SN, ST, TH",2020-10-31,44,Lower Saxony
Reformation Day,Common local holiday,"BB, HB, HH, MVP, NDS, SH, SN, ST, TH",2020-10-31,44,Schleswig-Holstein
Reformation Day,Common local holiday,"BB, HB, HH, MVP, NDS, SH, SN, ST, TH",2020-10-31,44,Saxony
Reformation Day,Common local holiday,"BB, HB, HH, MVP, NDS, SH, SN, ST, TH",2020-10-31,44,Saxony-Anhalt
Reformation Day,Common local holiday,"BB, HB, HH, MVP, NDS, SH, SN, ST, TH",2020-10-31,44,Thuringia
Halloween,Observance,All States,2020-10-31,44,Germany
All Saints' Day,"Silent Day, public holiday","BW, BY, NRW, RLP, SL",2020-11-01,44,Baden-Württemberg
All Saints' Day,"Silent Day, public holiday","BW, BY, NRW, RLP, SL",2020-11-01,44,Bavaria
All Saints' Day,"Silent Day, public holiday","BW, BY, NRW, RLP, SL",2020-11-01,44,North Rhine-Westphalia
All Saints' Day,"Silent Day, public holiday","BW, BY, NRW, RLP, SL",2020-11-01,44,Rhineland-Palatinate
All Saints' Day,"Silent Day, public holiday","BW, BY, NRW, RLP, SL",2020-11-01,44,Saarland
Night of Broken Glass Remembrance Day,Observance,All States,2020-11-09,46,Germany
Fall of the Berlin Wall,Observance,All States,2020-11-09,46,Germany
St. Martin's Day,"Observance, Christian",All States,2020-11-11,46,Germany
National Day of Mourning,Silent Day,All States,2020-11-15,46,Germany
Repentance Day,"Christian, Common local holiday",Saxony,2020-11-18,47,Germany
Sunday of the Dead,Silent Day,All States,2020-11-22,47,Germany
First Advent Sunday,"Observance, Christian",All States,2020-11-29,48,Germany
Second Advent Sunday,"Observance, Christian",All States,2020-12-06,49,Germany
Saint Nicholas Day,"Observance, Christian",All States,2020-12-06,49,Germany
Third Advent Sunday,"Observance, Christian",All States,2020-12-13,50,Germany
Remembrance Day for Roma and Sinti killed by Genocide,Observance,All States,2020-12-19,51,Germany
Fourth Advent Sunday,"Observance, Christian",All States,2020-12-20,51,Germany
December Solstice,Season,All States,2020-12-21,52,Germany
Christmas Eve,Silent Day,All States,2020-12-24,52,Germany
Christmas Day,"National holiday, Christian",All States,2020-12-25,52,Germany
Boxing Day,"National holiday, Christian",All States,2020-12-26,52,Germany
New Year's Eve,Bank holiday,All States,2020-12-31,53,Germany
New Year's Day,National holiday,All States,2020-01-01,1,Ireland
St. Patrick's Day,National holiday,All States,2020-03-17,12,Ireland
March Equinox,Season,All States,2020-03-20,12,Ireland
Good Friday,Observance,All States,2020-04-10,15,Ireland
Easter,Observance,All States,2020-04-12,15,Ireland
Easter Monday,National holiday,All States,2020-04-13,16,Ireland
May Day,National holiday,All States,2020-05-04,19,Ireland
June Bank Holiday,National holiday,All States,2020-06-01,23,Ireland
June Solstice,Season,All States,2020-06-20,25,Ireland
August Bank Holiday,National holiday,All States,2020-08-03,32,Ireland
September Equinox,Season,All States,2020-09-22,39,Ireland
October Bank Holiday,National holiday,All States,2020-10-26,44,Ireland
December Solstice,Season,All States,2020-12-21,52,Ireland
Christmas Eve,Observance,All States,2020-12-24,52,Ireland
Christmas Day,National holiday,All States,2020-12-25,52,Ireland
St. Stephen's Day,National holiday,All States,2020-12-26,52,Ireland
New Year's Eve,Observance,All States,2020-12-31,53,Ireland
New Year's Day,Bank holiday,All States,2020-01-01,1,United Kingdom
2nd January,Local Bank Holiday,Scotland,2020-01-02,1,United Kingdom
Epiphany,Christian,All States,2020-01-06,2,United Kingdom
Orthodox Christmas Day,Orthodox,All States,2020-01-07,2,United Kingdom
Orthodox New Year,Orthodox,All States,2020-01-14,3,United Kingdom
Burns Night,Local observance,Scotland,2020-01-25,4,United Kingdom
Chinese New Year,Observance,All States,2020-01-25,4,United Kingdom
Tu B'Shevat (Arbor Day),Jewish holiday,All States,2020-02-10,7,United Kingdom
Valentine's Day,Observance,All States,2020-02-14,7,United Kingdom
Maha Shivaratri,Hindu Holiday,All States,2020-02-21,8,United Kingdom
Carnival / Shrove Tuesday,Christian,All States,2020-02-25,9,United Kingdom
Carnival / Ash Wednesday,Christian,All States,2020-02-26,9,United Kingdom
St. David's Day,Observance,Wales,2020-03-01,9,United Kingdom
Holi,Hindu Holiday,All States,2020-03-09,11,United Kingdom
Purim,Jewish holiday,All States,2020-03-10,11,United Kingdom
St Patrick's Day,Local Bank Holiday,NIR,2020-03-17,12,Northern Ireland
March Equinox,Season,All States,2020-03-20,12,United Kingdom
Isra and Mi'raj,Muslim,All States,2020-03-22,12,United Kingdom
Mothering Sunday,Observance,All States,2020-03-22,12,United Kingdom
Daylight Saving Time starts,Clock change/Daylight Saving Time,All States,2020-03-29,13,United Kingdom
Palm Sunday,Christian,All States,2020-04-05,14,United Kingdom
Maundy Thursday,Christian,All States,2020-04-09,15,United Kingdom
First day of Passover,Jewish holiday,All States,2020-04-09,15,United Kingdom
Good Friday,Bank holiday,All States,2020-04-10,15,United Kingdom
Holy Saturday,Christian,All States,2020-04-11,15,United Kingdom
Easter Sunday,"Observance, Christian",All States,2020-04-12,15,United Kingdom
Easter Monday,Common local holiday,"ENG, NIR, WAL",2020-04-13,16,United Kingdom
Easter Monday,Common local holiday,"ENG, NIR, WAL",2020-04-13,16,Northern Ireland
Easter Monday,Common local holiday,"ENG, NIR, WAL",2020-04-13,16,Wales
Easter Monday,Observance,Scotland,2020-04-13,16,United Kingdom
Last day of Passover,Jewish holiday,All States,2020-04-16,16,United Kingdom
Orthodox Good Friday,Orthodox,All States,2020-04-17,16,United Kingdom
Orthodox Holy Saturday,Orthodox,All States,2020-04-18,16,United Kingdom
Orthodox Easter,Orthodox,All States,2020-04-19,16,United Kingdom
Orthodox Easter Monday,Orthodox,All States,2020-04-20,17,United Kingdom
Yom HaShoah,Jewish commemoration,All States,2020-04-21,17,United Kingdom
Stephen Lawrence Day,Observance,All States,2020-04-22,17,United Kingdom
Ramadan Start,Muslim,All States,2020-04-23,17,United Kingdom
St. George's Day,Observance,All States,2020-04-23,17,United Kingdom
Shakespeare Day,Observance,All States,2020-04-23,17,United Kingdom
Yom HaAtzmaut,Jewish holiday,All States,2020-04-29,18,United Kingdom
Early May Bank Holiday / VE Day,Bank holiday,All States,2020-05-08,19,United Kingdom
Lag B'Omer,Jewish holiday,All States,2020-05-12,20,United Kingdom
Laylatul Qadr (Night of Power),Muslim,All States,2020-05-19,21,United Kingdom
Ascension Day,Christian,All States,2020-05-21,21,United Kingdom
Eid ul Fitr,Muslim,All States,2020-05-24,21,United Kingdom
Spring Bank Holiday,Bank holiday,All States,2020-05-25,22,United Kingdom
Shavuot,Jewish holiday,All States,2020-05-29,22,United Kingdom
Pentecost,Christian,All States,2020-05-31,22,United Kingdom
Whit Monday,Christian,All States,2020-06-01,23,United Kingdom
Trinity Sunday,Christian,All States,2020-06-07,23,United Kingdom
Corpus Christi,Christian,All States,2020-06-11,24,United Kingdom
Queen's Birthday,Observance,All States,2020-06-13,24,United Kingdom
June Solstice,Season,All States,2020-06-20,25,United Kingdom
Father's Day,Observance,All States,2020-06-21,25,United Kingdom
Windrush Day,Observance,All States,2020-06-22,26,United Kingdom
Battle of the Boyne,Local Bank Holiday,NIR,2020-07-12,28,Northern Ireland
Battle of the Boyne observed,Local Bank Holiday,NIR,2020-07-13,29,Northern Ireland
Tisha B'Av,Jewish holiday,All States,2020-07-30,31,United Kingdom
Eid ul Adha,Muslim,All States,2020-07-31,31,United Kingdom
Raksha Bandhan,Hindu Holiday,All States,2020-08-03,32,United Kingdom
Summer Bank Holiday,Common local holiday,Scotland,2020-08-03,32,United Kingdom
Janmashtami,Hindu Holiday,All States,2020-08-12,33,United Kingdom
Assumption of Mary,Christian,All States,2020-08-15,33,United Kingdom
Muharram/Islamic New Year,Muslim,All States,2020-08-20,34,United Kingdom
Ganesh Chaturthi,Hindu Holiday,All States,2020-08-22,34,United Kingdom
Ashura,Muslim,All States,2020-08-30,35,United Kingdom
Summer Bank Holiday,Common local holiday,"ENG, NIR, WAL",2020-08-31,36,United Kingdom
Summer Bank Holiday,Common local holiday,"ENG, NIR, WAL",2020-08-31,36,Northern Ireland
Summer Bank Holiday,Common local holiday,"ENG, NIR, WAL",2020-08-31,36,Wales
Rosh Hashana,Jewish holiday,All States,2020-09-19,38,United Kingdom
September Equinox,Season,All States,2020-09-22,39,United Kingdom
Yom Kippur,Jewish holiday,All States,2020-09-28,40,United Kingdom
First day of Sukkot,Jewish holiday,All States,2020-10-03,40,United Kingdom
Feast of St Francis of Assisi,Christian,All States,2020-10-04,40,United Kingdom
Hoshana Rabbah,Jewish holiday,All States,2020-10-09,41,United Kingdom
Shemini Atzeret,Jewish holiday,All States,2020-10-10,41,United Kingdom
Simchat Torah,Jewish holiday,All States,2020-10-11,41,United Kingdom
Navaratri,Hindu Holiday,All States,2020-10-17,42,United Kingdom
Dussehra,Hindu Holiday,All States,2020-10-25,43,United Kingdom
Daylight Saving Time ends,Clock change/Daylight Saving Time,All States,2020-10-25,43,United Kingdom
Milad un Nabi (Mawlid),Muslim,All States,2020-10-29,44,United Kingdom
Halloween,Observance,All States,2020-10-31,44,United Kingdom
All Saints' Day,Christian,All States,2020-11-01,44,United Kingdom
All Souls' Day,Christian,All States,2020-11-02,45,United Kingdom
Guy Fawkes Day,Observance,All States,2020-11-05,45,United Kingdom
Remembrance Sunday,Observance,All States,2020-11-08,45,United Kingdom
Diwali/Deepavali,Hindu Holiday,All States,2020-11-14,46,United Kingdom
First Sunday of Advent,Observance,All States,2020-11-29,48,United Kingdom
St Andrew's Day,Local Bank Holiday,Scotland,2020-11-30,49,United Kingdom
Feast of the Immaculate Conception,Christian,All States,2020-12-08,50,United Kingdom
First Day of Hanukkah,Jewish holiday,All States,2020-12-11,50,United Kingdom
Last day of Hanukkah,Jewish holiday,All States,2020-12-18,51,United Kingdom
December Solstice,Season,All States,2020-12-21,52,United Kingdom
Christmas Eve,Observance,All States,2020-12-24,52,United Kingdom
Christmas Day,Bank holiday,All States,2020-12-25,52,United Kingdom
Boxing Day,Bank holiday,All States,2020-12-26,52,United Kingdom
Substitute Bank Holiday for Boxing Day,Bank holiday,All States,2020-12-28,53,United Kingdom
New Year's Eve,Observance,All States,2020-12-31,53,United Kingdom
New Year's Day,National holiday,All States,2020-01-01,1,Mexico
Day of the Holy Kings,Observance,All States,2020-01-06,2,Mexico
Candlemas,Observance,All States,2020-02-02,5,Mexico
Day off for Constitution Day,National holiday,All States,2020-02-03,6,Mexico
Constitution Day,National holiday,All States,2020-02-05,6,Mexico
Valentine's Day,Observance,All States,2020-02-14,7,Mexico
Flag Day,Observance,All States,2020-02-24,9,Mexico
Ash Wednesday,"Observance, Christian",All States,2020-02-26,9,Mexico
Day off for Benito Juárez's Birthday Memorial,National holiday,All States,2020-03-16,12,Mexico
Oil Expropriation Day,Observance,All States,2020-03-18,12,Mexico
March Equinox,Season,All States,2020-03-19,12,Mexico
Benito Juárez's Birthday Memorial,National holiday,All States,2020-03-21,12,Mexico
Palm Sunday,"Observance, Christian",All States,2020-04-05,14,Mexico
Maundy Thursday,Bank holiday,All States,2020-04-09,15,Mexico
Good Friday,Bank holiday,All States,2020-04-10,15,Mexico
Holy Saturday,Observance,All States,2020-04-11,15,Mexico
Easter Sunday,"Observance, Christian",All States,2020-04-12,15,Mexico
Children's Day,Observance,All States,2020-04-30,18,Mexico
Labor Day / May Day,National holiday,All States,2020-05-01,18,Mexico
Battle of Puebla (Cinco de Mayo),Common local holiday,All States,2020-05-05,19,Mexico
Mother's Day,Observance,All States,2020-05-10,19,Mexico
Teacher's Day,Observance,All States,2020-05-15,20,Mexico
Ascension Day,Observance,All States,2020-05-21,21,Mexico
Whit Sunday,Observance,All States,2020-05-31,22,Mexico
Corpus Christi,Observance,All States,2020-06-11,24,Mexico
June Solstice,Season,All States,2020-06-20,25,Mexico
Father's Day,Observance,All States,2020-06-21,25,Mexico
Assumption of Mary,Observance,All States,2020-08-15,33,Mexico
Shout of Dolores,Observance,All States,2020-09-15,38,Mexico
Independence Day,National holiday,All States,2020-09-16,38,Mexico
September Equinox,Season,All States,2020-09-22,39,Mexico
Columbus Day,Observance,All States,2020-10-12,42,Mexico
Halloween,Observance,All States,2020-10-31,44,Mexico
All Saints' Day,Observance,All States,2020-11-01,44,Mexico
All Souls' Day,Observance,All States,2020-11-02,45,Mexico
Day off for Revolution Day Memorial,National holiday,All States,2020-11-16,47,Mexico
Revolution Day Memorial,National holiday,All States,2020-11-20,47,Mexico
Christ the King Day,Observance,All States,2020-11-22,47,Mexico
Feast of the Immaculate Conception,Observance,All States,2020-12-08,50,Mexico
Day of the Virgin of Guadalupe,Bank holiday,All States,2020-12-12,50,Mexico
December Solstice,Season,All States,2020-12-21,52,Mexico
Christmas Eve,"Observance, Christian",All States,2020-12-24,52,Mexico
Christmas Day,"National holiday, Christian",All States,2020-12-25,52,Mexico
Day of the Holy Innocents,Observance,All States,2020-12-28,53,Mexico
New Year's Eve,Observance,All States,2020-12-31,53,Mexico
